safe,card_currency,recipient_address,recipient_label,recipient_class,asset,amount_out,usd_out,n_transfers,first_blk,last_blk,balance_before,balance_now,usd_balance_now
0xcd4af6fb41bf5f4d74c8f93f1073bd8f209487ab,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1095673776046466,127.55,1,46477481,46477481,1.1095673776046466,0.0,0.0
0x8972496f833a9731c7b9ece70ec258993b58426e,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1092408992358214,127.51,1,46477481,46477481,1.1092408992358214,0.0,0.0
0x8161ba77e48159657a40522953e2290a463ed7dd,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1083709090470235,127.41,1,46477425,46477425,1.1083709090470235,0.0,0.0
0x8b3028f597ae1e9756166a998524ea4db008d697,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,EURe,109.17,127.28,1,46477504,46477504,272.88,0.0,0.0
0x6e118c8125d8465dc7133d7279eb4616d5e0e005,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.1063137401609318,127.18,1,46477215,46477215,1.1063137401609318,0.0,0.0
0x775b0eb8e361ff474538fdf80e729f996a713dcd,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,127.088328,127.09,1,46477496,46477496,412.388328,0.0,0.0
0xc80f146d246d2ed6af1e0e82699b65821887021a,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.105009407012926,127.03,1,46477495,46477495,1.105009407012926,0.0,0.0
0xeffdf60611d86190dd9f5808dd50ca4349a8dfcf,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,126.938981,126.94,1,46477496,46477496,126.938981,0.0,0.0
0x30975ac7bdb8a56f0ec6eb176b72587e77e2fd44,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,126.899551,126.9,1,46477496,46477496,126.899551,0.0,0.0
0x811dfa230ab23ad73cee3924656627537b8f1896,EURe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.103813026202705,126.89,1,46477407,46477407,1.043549100154121,0.0,0.0
0xdb7072a6f5156b99f44519dd4b2db4cb22f17f95,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,GNO,1.102896386646401,126.78,1,46477496,46477496,1.102896386646401,0.0,0.0
0x9bee3dc293ee8a0dbcd0c1901122b5d570c8d7b5,USDCe,0xbb897a566146fdb959ddde80ce00c50b4f5be03f,whitehat-rescuer,whitehat,USDC.e,126.741832,126.74,1,46477496,46477496,126.741832,0.0,0.0
